Date,Open,High,Low,Close
3/1/2020,12261.1,12265.6,12191.35,12226.65
6/1/2020,12170.6,12179.1,11974.2,11993.05
7/1/2020,12079.1,12152.15,12005.35,12052.95
8/1/2020,11939.1,12044.95,11929.6,12025.35
9/1/2020,12153.15,12224.05,12132.55,12215.9
10/1/2020,12271,12311.2,12213.2,12256.8
13/1/2020,12296.7,12337.75,12285.8,12329.55
14/1/2020,12333.1,12374.25,12308.7,12362.3
15/1/2020,12349.4,12355.15,12278.75,12343.3
16/1/2020,12347.1,12389.05,12315.8,12355.5
17/1/2020,12328.4,12385.45,12321.4,12352.35
20/1/2020,12430.5,12430.5,12216.9,12224.55
21/1/2020,12195.3,12230.05,12162.3,12169.85
22/1/2020,12218.35,12225.05,12087.9,12106.9
23/1/2020,12123.75,12189,12094.1,12180.35
24/1/2020,12174.55,12272.15,12149.65,12248.25
27/1/2020,12197.1,12216.6,12107,12119
28/1/2020,12148.1,12163.55,12024.5,12055.8
29/1/2020,12114.9,12169.6,12103.8,12129.5
30/1/2020,12147.75,12150.3,12010.6,12035.8
31/1/2020,12100.4,12103.55,11945.85,11962.1
1/2/2020,11939,12017.35,11633.3,11661.85
3/2/2020,11627.45,11749.85,11614.5,11707.9
4/2/2020,11786.25,11986.15,11783.4,11979.65
5/2/2020,12005.85,12098.15,11953.35,12089.15
6/2/2020,12120,12160.6,12084.65,12137.95
7/2/2020,12151.15,12154.7,12073.95,12098.35
10/2/2020,12102.35,12103.55,11990.75,12031.5
11/2/2020,12108.4,12172.3,12099,12107.9
12/2/2020,12151,12231.75,12144.3,12201.2
13/2/2020,12219.55,12225.65,12139.8,12174.65
14/2/2020,12190.15,12246.7,12091.2,12113.45
17/2/2020,12131.8,12159.6,12037,12045.8
18/2/2020,12028.25,12030.75,11908.05,11992.5
19/2/2020,12090.6,12134.7,12042.1,12125.9
20/2/2020,12119,12152,12071.45,12080.85
24/2/2020,12012.55,12012.55,11813.4,11829.4
25/2/2020,11877.5,11883.05,11779.9,11797.9
26/2/2020,11738.55,11783.25,11639.6,11678.5
27/2/2020,11661.25,11663.85,11536.7,11633.3
28/2/2020,11382,11384.8,11175.05,11201.75
2/3/2020,11387.35,11433,11036.25,11132.75
3/3/2020,11217.55,11342.25,11152.55,11303.3
4/3/2020,11351.35,11356.6,11082.15,11251
5/3/2020,11306.05,11389.5,11244.6,11269
6/3/2020,10942.65,11035.1,10827.4,10989.45
9/3/2020,10742.05,10751.55,10294.45,10451.45
